index,page_title,campus,block_release_duration,distance_learning_duration,full_time_duration,part_time_duration,block_release_international_fees,distance_learning_international_fees,full_time_international_fees,part_time_international_fees,block_release_uk_fees,distance_learning_uk_fees,full_time_uk_fees,part_time_uk_fees,block_release_url,distance_learning_url,full_time_url,part_time_url,desc_len,description,ai_description,desc_ai_len
70,Creative Writing and English Language BA Honours,"Regent, Central London",,,3 years,6 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-language-ba-honours,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-language-ba-honours,224,"Our Creative Writing and English Language BA combines the opportunity to improve your writing skills with the development of a thorough knowledge and understanding of the structure, history and usage of the English language."," This Creative Writing and English Language BA course offers a captivating blend of honing your creative writing prowess and gaining comprehensive insights into the intricacies of the English language. Delve deep into the evolution, structure, and application of the language while refining your storytelling abilities. Embrace the chance to explore both the historical foundations and contemporary usage of English, all within a Bachelor's degree program that caters to budding authors and linguists alike. This engaging curriculum promises to equip you with the skills necessary to excel in the realm of creative writing while fostering a solid foundation in the study of the English language.",275
71,Creative Writing and English Literature BA Honours,"Regent, Central London",,,3 years,6 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-literature-ba-honours,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-literature-ba-honours,169,Our Creative Writing and English Literature BA combines the study of literary and non-literary texts in English with the development of your own creative writing skills.," Explore the interwoven realms of creativity and literature in our Bachelor of Arts (BA) in Creative Writing and English Literature. This stimulating program harmoniously blends the analysis of diverse literary works, from classic novels to modern narratives, with the honing of your unique creative writing talents. You'll delve into both literary and non-literary texts, exploring their thematic depths and stylistic nuances, while concurrently crafting your own captivating narratives. This program offers a dynamic fusion of critical analysis and imaginative expression, empowering you to navigate the rich tapestry of English literature with dexterity, while honing your storytelling abilities to create compelling tales that resonate with readers.",275
72,Creative Writing and English Literature with Foundation BA Honours,"Regent, Central London",,,4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-literature-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses with Foundation years provide a preparatory pathway for students aiming to excel in advanced studies. This unique offering ensures seamless transition into a full honours degree, without requiring prior qualifications or specific subject knowledge. These courses are designed to nurture and empower individuals, offering a comprehensive bridge between secondary education and undergraduate study. By choosing this route, you'll be embarking on an enriching journey that lays solid foundations for your future academic success. Whether your passion lies in Business, Art & Design, Science, or Architecture, the Foundation year at the University of Westminster offers a stepping stone to unlocking your full potential and opening doors to a world of opportunities.",275
73,Creative Writing: Writing the City MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£9,700","£4,850",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-writing-the-city-ma,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-writing-the-city-ma,375,"The Creative Writing: Writing the City MA is the only Creative Writing MA course to focus entirely on the city of London. It will allow you to explore the city as subject matter from a range of perspectives and across all genres. It will also give you a theoretical and practical platform from which to develop your understanding, and become part of the London writing scene."," The Creative Writing: Writing the City MA is a unique course that delves into the urban landscape of London, serving as an exclusive platform for students to creatively interpret the city through diverse perspectives and genres. This program offers a theoretical and practical foundation, empowering individuals to deepen their comprehension and active involvement within the dynamic London literary community. By focusing solely on London, this MA course provides a singular opportunity to immerse oneself in the city's rich tapestry of stories, thereby shaping a compelling writing journey that intertwines theory with practice.",275
74,Creative and Professional Writing BA Honours,"Regent, Central London",,,3 or 4 years,6-7 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-and-professional-writing-ba-honours,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-and-professional-writing-ba-honours,297,"Writing is everywhere. From the films we watch, the TV we stream and the books we read, to the social media posts we write, the marketing pitches that surround us and the news stories we receive across print and digital formats. Increasingly too, that writing is not produced by people, but by AI."," In this compelling educational course, the transformative role of writing in today's digital landscape is explored. From the narratives of films and TV series to the captivating prose of books and engaging social media content, writing permeates our daily lives. This course delves into an intriguing aspect: the emergence of AI-generated writing. It highlights how AI algorithms are reshaping the literary sphere, from crafting marketing pitches to delivering news stories across various platforms. By understanding this evolution, students gain a unique perspective on the intersection of creativity, technology, and communication. This engaging course promises an enlightening journey into the future of written expression, fostering both intellectual curiosity and practical skills.",275
75,Criminology BA Honours,"Regent, Central London",,,3 or 4 years,5 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/criminology-ba-honours,https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/criminology-ba-honours,253,"With crime frequently in the news and increasingly an important issue, criminology has never been more relevant. The Criminology BA Honours aims to enthuse, inspire and equip you with the skills for a successful career in today's competitive job market."," In the spotlight of contemporary news, understanding criminology is more vital than ever. The Criminology BA Honours course is designed to ignite your passion, stimulate your mind, and arm you with the necessary skills for a flourishing career in this dynamic field. This program offers an insightful exploration into the complexities of crime, its causes, and consequences, preparing students for success in today's competitive job market. By delving deep into criminal behavior, criminal law, justice systems, and social policy, you will gain a comprehensive understanding of the intricacies of criminology. This course equips you with essential analytical, critical thinking, and research skills, ensuring your readiness for a rewarding career in various sectors such as policing, probation services, victim support, or academia.",275
76,Criminology with Foundation BA Honours,"Regent, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/criminology-with-foundation-ba-honours,,498,"Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our Foundation year in order to progress onto their full honours degree with us."," The University of Westminster's Foundation year degree courses serve as stepping stones for those not yet prepared for advanced study. These programs cater to various situations – be it a lack of required qualifications, a desire to switch subject specialisms, or a return to education after an extended absence. The foundation year prepares students to seamlessly progress into their chosen full honours degree at the university, fostering an inclusive learning environment that encourages a diverse range of individuals to grow and excel academically.",275
77,Cultural and Critical Studies MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£9,700","£4,850",,,https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2025-26/september/full-time/cultural-and-critical-studies-ma,https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2025-26/september/part-time-day/cultural-and-critical-studies-ma,602,"The Cultural and Critical Studies MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary and experiential perspectives. You'll share classes with students from the Art and Visual Culture MA, the English Literature: Modern and Contemporary Fictions MA and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually rigorous environment designed to facilitate interdisciplinary thinking."," The Cultural and Critical Studies MA, nestled within the Cultural and Literary Studies Suite, offers an engaging academic journey for students keen on exploring modern and contemporary culture from diverse angles. This unique program unites scholars, curators, and practitioners in a vibrant, intellectually stimulating environment. Students engage with peers from other MAs, including Art and Visual Culture, English Literature: Modern and Contemporary Fictions, and Museum, Galleries, and Contemporary Culture. The interdisciplinary approach fosters a dynamic learning experience, encouraging critical thinking that transcends traditional boundaries. Whether your passion lies in aesthetics, criticism, literature, or experiential perspectives, this MA provides the perfect platform to delve deeper into the intricacies of modern culture.",275
78,"Culture, Environment and Social Change BA Honours","Regent, Central London",,,3 or 4 years,6-7 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/criminology-and-sociology-english-and-creative-writing-politics-and-international-relations-courses/2025-26/september/full-time/culture-environment-and-social-change-ba-honours,https://www.westminster.ac.uk/criminology-and-sociology-english-and-creative-writing-politics-and-international-relations-courses/2025-26/september/part-time-day/culture-environment-and-social-change-ba-honours,386,"The Culture, Environment and Social Change BA will enable you to explore the most important issues in the world today. Ranging from climate change and resource depletion to mass migration and social inequality, you’ll examine critical issues from a variety of disciplinary perspectives in order to make sense of a complex and dynamically changing world at a variety of different scales."," This Bachelor's Degree in Culture, Environment, and Social Change offers an immersive exploration into the pressing global matters shaping our world today. From climate change and resource scarcity to mass migration and social disparities, students delve into these crucial topics from multiple academic viewpoints. By doing so, they gain a comprehensive understanding of a rapidly evolving and intricate global landscape at various scales. This program empowers learners with the knowledge and skills needed to navigate and address today's complex societal challenges effectively. Keywords: Culture, Environment, Social Change, Critical Issues, Global Matters, Multi-disciplinary Perspectives, Comprehensive Understanding, Rapidly Evolving World.",275
79,Cyber Security and Forensics BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-bsc-honours,,149,"Our Cyber Security and Forensics BSc is designed to meet the ever-growing requirements and challenges facing businesses, governments and individuals."," In this dynamic 4-year Bachelor of Science (BSc) program in Cyber Security and Forensics, students delve into the intricate world of digital defense and investigation. As cyber threats continuously escalate across business, government, and personal sectors, our course equips graduates with the essential skills to combat these challenges. From understanding network security principles to mastering forensic analysis techniques, this comprehensive program ensures that students are well-versed in cutting-edge tools and methodologies. Additionally, real-world case studies facilitate hands-on learning experiences, reinforcing critical problem-solving abilities. Upon graduation, students will be primed for success in the ever-evolving cybersecurity landscape as security analysts, investigators, or consultants.",275
80,Cyber Security and Forensics MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-msc,https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/part-time-day/cyber-security-and-forensics-msc,233,"Our Cyber Security and Forensics MSc has been designed with a high degree of relevance to the industry’s needs. This course is also fully certified by the National Cyber Security Centre (NCSC), which is a sign of national excellence."," The Cyber Security and Forensics MSc, a cutting-edge program, aligns closely with industry demands, earning certification from the National Cyber Security Centre (NCSC). This national seal of approval underscores its elite status. The course equips students with invaluable skills to navigate the ever-evolving cyber landscape, offering an unparalleled blend of theory and practical application. From securing digital systems to investigating cybercrimes, this comprehensive program prepares graduates for leadership roles in the rapidly expanding field of cyber security and forensics. With a focus on real-world relevance, students can anticipate mastering essential skills needed to safeguard our increasingly interconnected world.",275
81,Cyber Security and Forensics with Foundation BSc Honours,"Cavendish, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-with-foundation-bsc-honours,,498,"Our degree courses with foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our Foundation year in order to progress onto their full honours degree with us."," The University of Westminster's degree courses with foundation years provide a supportive platform for individuals with diverse backgrounds to prepare for advanced studies. Regardless of readiness for degree-level study, lacking necessary qualifications, seeking a change in subject specialism, or returning to education after a break, this foundation year is tailored to accommodate all. This unique opportunity allows students to smoothly transition into their full honours degree upon successful completion, ensuring a seamless educational journey at the University of Westminster.",275
82,Data Science and Analytics BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-bsc-honours,,153,"Our Data Science and Analytics BSc will give you the combination of analytical, technical and presentation skills to convert data into valuable insights."," This Data Science and Analytics BSc program offers a blend of analytical, technical, and communication skills essential for transforming raw data into valuable insights. By enrolling in this course, students will acquire the tools needed to navigate the world of data analysis, including proficiency in programming languages like Python or R, mastery of machine learning techniques, and understanding of statistical methods. Additionally, students will hone their presentation skills, learning how to effectively communicate complex findings to various audiences. This comprehensive program prepares graduates for a wide range of careers in data-driven industries such as finance, healthcare, marketing, and more. Whether you aim to become a data analyst, data scientist, or business intelligence specialist, this Data Science and Analytics BSc will equip you with the skills needed to excel in today's data-centric workforce.",275
83,Data Science and Analytics MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-msc,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/data-science-and-analytics-msc,417,"This course (previously Business Intelligence and Analytics MSc) addresses the need to propel information-gathering and data organisation, and exploit potential information and knowledge hidden in routinely collected data to improve decision-making. The course stretches the artificial intelligence (AI), machine learning (ML) and decision science themes to business intelligence, data science and business analytics."," This revamped Master's program, formerly known as Business Intelligence and Analytics MSc, is designed to foster the advancement of data collection, organization, and utilization. It empowers students to uncover valuable insights hidden within routine data, thereby enhancing decision-making processes. The course intertwines artificial intelligence (AI), machine learning (ML), and decision science with business intelligence, data science, and business analytics. This unique blend equips students with the skills necessary to navigate the dynamic world of data-driven strategies, making it an ideal choice for those aiming to shape the future of data-informed business decisions.",275
84,Data Science and Analytics with Foundation BSc Honours,"Cavendish, Central London",,,4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-with-foundation-bsc-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses featuring Foundation years provide a unique pathway, tailored for students seeking comprehensive preparation for higher-level studies. This program seamlessly transitions students from foundation learning to a full honors degree, ensuring a smooth academic journey. These courses meticulously prepare learners, offering a solid grounding in essential skills and knowledge required for advanced study. By enrolling in these programs, students can confidently embark on their academic adventure at the University of Westminster, paving the way to a fulfilling university education.",275
85,Data and Marketing Analytics MSc,"Marylebone, Central London",,,1 year,,,,"£19,000",,,,"£16,500",,,,https://www.westminster.ac.uk/marketing-courses/2024-25/january/full-time/data-and-marketing-analytics-msc,,143,"Our Data and Marketing Analytics MSc addresses contemporary business challenges, focusing on data-driven decision-making for marketing success."," This Data and Marketing Analytics MSc course is tailored to tackle modern business predicaments, emphasizing data-informed decision-making for marketing triumphs. The curriculum delves into crucial areas such as consumer behavior analysis, digital marketing strategy, and predictive analytics. Students will master cutting-edge tools and techniques to extract meaningful insights from complex datasets, enabling them to drive impactful marketing decisions. Additionally, the program explores big data management, machine learning algorithms, and statistical modeling – all vital for navigating the rapidly evolving digital marketing landscape. Furthermore, real-world case studies provide practical experience in applying these skills to actual business scenarios. This MSc equips graduates with the essential skills needed to thrive as data-savvy marketing professionals in today's data-driven world.",275
86,Digital Business MSc,"Marylebone, Central London",,,1 year,,,,"£17,500",,,,"£14,700",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/digital-business-msc,,402,"Worldwide spending on the technologies and services that enable digital transformation is forecast to reach £1.8 trillion in 2023 – companies everywhere have realised they need technology to stay relevant, improve productivity and increase profitability. Innovative and practical, our degree has been designed with input from industry to respond to growing employer demands for advanced digital skills."," This innovative degree, shaped by industry insights, is tailored to address the escalating global demand for advanced digital skills amidst a projected £1.8 trillion spending on digital transformation technologies in 2023. The program empowers companies to remain competitive, enhance productivity, and boost profitability by equipping students with cutting-edge digital know-how. By bridging the gap between academic learning and industry needs, this degree offers a practical approach to the dynamic world of technology.",275
87,Digital Marketing BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/digital-marketing-ba-honours,,258,"Whether you consider yourself an ideas person, innovator or problem-solver, our exciting degree brings together the creative and analytical aspects of marketing to offer a hands-on experience of creating, managing and measuring the impact of an online brand."," This innovative degree program harmoniously blends creativity with analytics, providing a practical, immersive environment for students to construct, administer, and assess the effectiveness of digital brands. Whether you identify as an ideas generator, innovator, or problem-solver, this course equips you with the skills to excel in marketing's dynamic landscape. The comprehensive curriculum offers hands-on experience, making it perfect for those eager to delve into crafting, maintaining, and evaluating digital brands' success.",275
88,Digital Marketing Management MSc,"Marylebone, Central London",,,1 year,,,,"£19,500",,,,"£16,700",,,,https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/digital-marketing-management-msc,,343,"The world of marketing has been transformed by digital technology, making it easier and cheaper to target customers and track buyer behaviour online. Employers need graduates ready to work in data analysis, marketing automation, user experience and content creation, some of the key skills you’ll learn on the Digital Marketing Management MSc."," The Digital Marketing Management MSc course equips students with cutting-edge skills for the rapidly evolving digital marketing landscape. Amidst a revolutionized world where technology has streamlined marketing tactics and reduced costs, employers seek graduates versed in data analysis, marketing automation, user experience, and content creation – all pivotal aspects this program covers. By mastering these skills, students will be well-prepared to excel in the dynamic domain of digital marketing.",275
89,Digital Media Production BA Honours,"Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-production-ba-honours,,452,"Our Digital Media Production BA is a practical course focusing on media production, web design, commercial radio and audio storytelling. The course has been specifically designed to prepare you for the fast-changing media and communication industries and digital media roles of the future. You’ll become a highly skilled media professional who can create and share messages professionally across any digital platform, to truly connect with an audience."," Embark on a dynamic Digital Media Production BA journey, tailored for tomorrow's media landscape. This immersive course equips you with essential skills in media production, web design, commercial radio broadcasting, and audio storytelling. The program is strategically designed to adapt to the ever-evolving media and communication sectors, readying you for digital media roles of the future. By mastering digital platforms, you'll cultivate your ability to professionally craft and disseminate messages that resonate deeply with audiences. This course empowers you to become a versatile media professional, primed for success in the digital age.",275
90,Digital Media and Communication BA Honours,"Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-and-communication-ba-honours,,512,"Our Digital Media and Communication BA is ideal for those who are interested in internet cultures, data and society and media and communication research. The course has been designed to prepare you for the fast-changing media and communication industries and digital media roles of the future. You’ll become a highly skilled media professional who can create and share messages professionally across any digital platform, to truly connect with an audience. You’ll also be prepared for further postgraduate study."," This Digital Media and Communication BA is tailored for individuals passionate about internet cultures, data-society interactions, and media and communication research. Designed to adapt to the swiftly evolving media landscape, this course equips students with the necessary skills to excel in digital media roles of the future. As a student, you'll cultivate professional message creation and dissemination abilities across various digital platforms, fostering impactful audience engagement. Additionally, this program readies learners for postgraduate studies, ensuring they remain at the forefront of the dynamic media and communication industries.",275
91,Digital Media and Journalism BA Honours,"Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-and-journalism-ba-honours,,481,"Our Digital Media and Journalism BA is ideal for those who want to pursue a career in journalism, focusing on stories, multi-platform news, media law and launching a publication. The course has been designed to prepare you for the fast-changing media and communication industries and digital media roles of the future. You’ll become a highly skilled media professional who can create and share messages professionally across any digital platform, to truly connect with an audience."," Explore a dynamic Digital Media and Journalism BA degree tailored for aspiring journalists aiming to excel in multimedia storytelling and news dissemination. This comprehensive course equips students with the skills needed to thrive in evolving media and communication sectors, preparing them for future digital roles. By mastering media law, multi-platform news strategies, and publication launch techniques, graduates will emerge as versatile media professionals. This program empowers individuals to craft and disseminate messages effectively across various digital platforms, fostering a deep connection with their audience.",275
92,"Digital Media, Public Relations and Advertising BA Honours","Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-public-relations-and-advertising-ba-honours,,454,"Our Digital Media, PR and Advertising BA is ideal for those who want to explore the commercial aspect of marketing communications and consumer culture. The course has been designed to prepare you for the fast-changing media and communication industries and digital media roles of the future. You’ll become a highly skilled media professional who can create and share messages professionally across any digital platform, to truly connect with an audience."," This Digital Media, PR, and Advertising BA is tailored for those passionate about the commercial facets of marketing communications and consumer culture. The program is strategically designed to equip students with the necessary skills for navigating evolving media and communication industries, focusing on digital media roles of the future. By completing this course, you'll emerge as a versatile media professional adept at crafting and disseminating messages seamlessly across various digital platforms, ensuring a meaningful connection with your audience. The curriculum emphasizes preparing students for the dynamic world of digital media, ensuring they remain at the forefront of industry advancements.",275
93,Digital Media: Storytelling and Production MA,"Harrow, North-West London",,,1 year,,,,"£17,500",,,,"£9,700",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-storytelling-and-production-ma,,270,The Digital Media: Storytelling and Production MA helps you build your knowledge and skills in digital media storytelling formats and production skills. You’ll become competent in a range of platforms and formats and then be able to specialise in an area of your choice.," This Master's Degree in Digital Media: Storytelling and Production offers an immersive learning experience, empowering you to master various digital storytelling mediums and production techniques across diverse platforms. The comprehensive curriculum allows you to acquire a versatile skill set, providing the foundation for specialization in your preferred area of interest. By the end of this program, you'll be adept at using an extensive range of formats, ensuring you remain at the forefront of digital media evolution. This Master's degree provides the perfect blend of theoretical knowledge and practical application to prepare you for a successful career in the dynamic world of digital storytelling and production.",275
94,Diplomacy and Global Politics MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£10,700","£5,350",,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/diplomacy-and-global-politics-ma,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/diplomacy-and-global-politics-ma,534,"Global issues and challenges, such as armed conflicts, terrorism, global warming and environmental degradation, economic inequality and injustice, migration, religious and cultural discord, have gained increased prominence, as have the range of actors and stakeholders at global, national and local level engaged in diplomatic activity to address them. Negotiated solutions are increasingly in demand and so are professionals with the knowledge and skills to engage effectively in diplomatic activity in a diverse and contested world."," This educational course focuses on equipping students with the essential knowledge and skills necessary for effective participation in diplomacy within a complex and contentious global landscape. Topics include armed conflicts, terrorism, climate change, economic disparities, migration, and religious and cultural discord – all pressing issues that demand immediate attention and collaborative solutions. The course emphasizes the diversity of actors involved at international, national, and local levels, encouraging students to develop strategies for navigating diplomatic activity in this multifaceted environment. By completing this program, students will be adept at forging negotiated solutions, a crucial competency in today's interconnected world, where cooperation is essential for resolving global challenges.",275
95,Economic Policy and Analysis MSc,"Marylebone, Central London",,,1 year,,,,"£13,500",,,,"£11,700",,,,https://www.westminster.ac.uk/economics-courses/2025-26/september/full-time/economic-policy-and-analysis-msc,,425,"Economics is more relevant than ever to understand contemporary events in the global economy and provide the tools and techniques for business and governments to address the issues they face. Reflecting the needs of both private and public sector employers, our highly practical MSc prepares you to assess business problems, interpret public policy and effectively communicate the insights that economic analysis can provide."," This cutting-edge MSc program offers a timely exploration into the intricacies of the global economy, emphasizing its increasing relevance in today's world events. Designed with the needs of both private and public sector employers in mind, this practical course equips students with essential skills to analyze business problems, interpret policy matters, and communicate insightful economic analysis effectively. The program ensures graduates are well-equipped to address the pressing challenges faced by businesses and governments alike, making it an ideal choice for those seeking a comprehensive understanding of the global economy.",275
96,Economics BSc Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/economics-courses/2025-26/september/full-time/economics-bsc-honours,,388,"What is the UK government doing to mitigate the financial impact of the coronavirus pandemic? How is the global community tackling poverty? What will Brexit mean for trade? How can companies embrace the opportunities of a decarbonised world? On this degree, you’ll explore these and more questions, crises and controversies as we uncover the far-reaching impact of economics on our world."," This unique degree delves into the profound influence of economics on our global landscape, addressing pressing issues such as the UK government's approach to mitigating financial hardships caused by the coronavirus pandemic, efforts by the international community to eradicate poverty, the potential implications of Brexit on trade, and strategies for companies to capitalize on opportunities within a decarbonised world. By enrolling in this program, you will gain insightful knowledge about these critical topics and contribute to shaping a more sustainable and equitable future.",275
97,Economics and Management BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/business-and-management-economics-courses/2025-26/september/full-time/economics-and-management-ba-honours,,375,"Whether caused by politics, environmental issues or world health crises, the global economy is ever changing and of growing concern to businesses. Monitoring and predicting the impact of economics on business is now a top priority, raising the demand for graduates who understand how markets work and how local and international issues can affect competition and performance."," In response to the dynamic and escalating global economy, an educational course emerges as a vital solution. Focused on addressing political, environmental, and health crises that impact businesses worldwide, this program equips students with the knowledge of market mechanics and the ability to forecast the influence of economic fluctuations on commercial ventures. The course emphasizes understanding how local and international issues can reshape competition landscapes and business performance, thereby fulfilling the increasing demand for graduates who are well-versed in these critical areas. This program is designed to arm future professionals with the skills necessary to navigate and thrive in an unpredictable global economy.",275
98,Energy and Environmental Design Postgraduate Certificate,"Marylebone, Central London",,,,1 year,,,,"£5,355",,,,"£3,975",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/energy-and-environmental-design-postgraduate-certificate,271,"The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide."," ""This innovative educational course addresses the urgent global need for architects and building professionals to tackle environmental and energy challenges. It focuses on deepening knowledge in environmental design principles, equipping students with practical skills to implement these concepts effectively in their professional careers globally. The course emphasizes the importance of sustainable practices in architecture, positioning graduates at the forefront of creating eco-friendly solutions for current and future generations.""",275
99,English Language and International Communication BA Honours,"Regent, Central London",,,3 or 4 years,6 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/english-language-and-international-communication-ba-honours,https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/part-time-day/english-language-and-international-communication-ba-honours,227,Our English Language and International Communication BA develops your understanding of the English language and the complexities of all forms of communication in order to help you thrive in a professional international context.," This BA in English Language and International Communication equips students with a profound comprehension of the English language intricacies and various aspects of global communication, fostering success in diverse, international professional settings. The course design meticulously weaves together crucial language elements and the nuances of international interaction, empowering learners to navigate the multifaceted landscape of today's globalized workforce effectively. By mastering the intricacies of English and understanding the complexities of cross-cultural communication, students are prepared for a rewarding career in an increasingly interconnected world.",275
100,English Language and Linguistics BA Honours,"Regent, Central London",,,3 years,6 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-linguistics-ba-honours,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-linguistics-ba-honours,97,"On this course, you'll study one of the key aspects of being human – our ability to use language."," Delve into the fascinating world of linguistics with our comprehensive course focusing on human language capability. This engaging educational journey explores the intricacies of how we communicate, using the unique tool that sets us apart - language. From phonetics and syntax to semantics and pragmatics, you'll unravel the complexities of structure, meaning, and usage in various languages. You'll also investigate historical and cultural influences on linguistic diversity. By analyzing real-life examples, you'll gain valuable insights into the power of words, their impact, and how they shape societies. This captivating course promises to be an intellectually stimulating experience for anyone eager to deepen their understanding of language and human connection.",275
