conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Counselling PGDip?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Counselling PGDip:\nCourse title: Counselling PGDip.\nCampus: Cavendish, Central London.\n\nFor Part-time course:\nUK fees: £4,250.\ninternational fees: £5,500.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/counselling-pgdip ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Computing BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Computing BSc Honours:\nCourse title: Creative Computing BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/creative-computing-bsc-honours-0', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Computing with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Computing with Foundation BSc Honours:\nCourse title: Creative Computing with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/creative-computing-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Media Arts BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Media Arts BA Honours:\nCourse title: Creative Media Arts BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/creative-media-arts-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Media Arts with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Media Arts with Foundation BA Honours:\nCourse title: Creative Media Arts with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/creative-media-arts-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Writing and English Language BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Writing and English Language BA Honours:\nCourse title: Creative Writing and English Language BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-language-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-language-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Writing and English Literature BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Writing and English Literature BA Honours:\nCourse title: Creative Writing and English Literature BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-literature-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-and-english-literature-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Writing and English Literature with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Writing and English Literature with Foundation BA Honours:\nCourse title: Creative Writing and English Literature with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-and-english-literature-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative Writing: Writing the City MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative Writing: Writing the City MA:\nCourse title: Creative Writing: Writing the City MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-writing-the-city-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-writing-the-city-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Creative and Professional Writing BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Creative and Professional Writing BA Honours:\nCourse title: Creative and Professional Writing BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-and-professional-writing-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6-7 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-and-professional-writing-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Criminology BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Criminology BA Honours:\nCourse title: Criminology BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/criminology-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/criminology-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Criminology with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Criminology with Foundation BA Honours:\nCourse title: Criminology with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/criminology-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Cultural and Critical Studies MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Cultural and Critical Studies MA:\nCourse title: Cultural and Critical Studies MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2025-26/september/full-time/cultural-and-critical-studies-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2025-26/september/part-time-day/cultural-and-critical-studies-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Culture, Environment and Social Change BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Culture, Environment and Social Change BA Honours:\nCourse title: Culture, Environment and Social Change BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-english-and-creative-writing-politics-and-international-relations-courses/2025-26/september/full-time/culture-environment-and-social-change-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6-7 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-english-and-creative-writing-politics-and-international-relations-courses/2025-26/september/part-time-day/culture-environment-and-social-change-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Cyber Security and Forensics BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Cyber Security and Forensics BSc Honours:\nCourse title: Cyber Security and Forensics BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Cyber Security and Forensics MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Cyber Security and Forensics MSc:\nCourse title: Cyber Security and Forensics MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-msc\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/part-time-day/cyber-security-and-forensics-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Cyber Security and Forensics with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Cyber Security and Forensics with Foundation BSc Honours:\nCourse title: Cyber Security and Forensics with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Data Science and Analytics BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Data Science and Analytics BSc Honours:\nCourse title: Data Science and Analytics BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Data Science and Analytics MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Data Science and Analytics MSc:\nCourse title: Data Science and Analytics MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-msc\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/data-science-and-analytics-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Data Science and Analytics with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Data Science and Analytics with Foundation BSc Honours:\nCourse title: Data Science and Analytics with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/data-science-and-analytics-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Data and Marketing Analytics MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Data and Marketing Analytics MSc:\nCourse title: Data and Marketing Analytics MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£16,500.\ninternational fees: £19,000.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/marketing-courses/2024-25/january/full-time/data-and-marketing-analytics-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Business MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Business MSc:\nCourse title: Digital Business MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£14,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/digital-business-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Marketing BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Marketing BA Honours:\nCourse title: Digital Marketing BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/digital-marketing-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Marketing Management MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Marketing Management MSc:\nCourse title: Digital Marketing Management MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£16,700.\ninternational fees: £19,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/marketing-courses/2025-26/september/full-time/digital-marketing-management-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Media Production BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Media Production BA Honours:\nCourse title: Digital Media Production BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-production-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Media and Communication BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Media and Communication BA Honours:\nCourse title: Digital Media and Communication BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-and-communication-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Media and Journalism BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Media and Journalism BA Honours:\nCourse title: Digital Media and Journalism BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-and-journalism-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Media, Public Relations and Advertising BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Media, Public Relations and Advertising BA Honours:\nCourse title: Digital Media, Public Relations and Advertising BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-public-relations-and-advertising-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Digital Media: Storytelling and Production MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Digital Media: Storytelling and Production MA:\nCourse title: Digital Media: Storytelling and Production MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/digital-media-storytelling-and-production-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Diplomacy and Global Politics MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Diplomacy and Global Politics MA:\nCourse title: Diplomacy and Global Politics MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/diplomacy-and-global-politics-ma\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/diplomacy-and-global-politics-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Economic Policy and Analysis MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Economic Policy and Analysis MSc:\nCourse title: Economic Policy and Analysis MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £13,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/economics-courses/2025-26/september/full-time/economic-policy-and-analysis-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Economics BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Economics BSc Honours:\nCourse title: Economics BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/economics-courses/2025-26/september/full-time/economics-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Economics and Management BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Economics and Management BA Honours:\nCourse title: Economics and Management BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-economics-courses/2025-26/september/full-time/economics-and-management-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Energy and Environmental Design Postgraduate Certificate?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Energy and Environmental Design Postgraduate Certificate:\nCourse title: Energy and Environmental Design Postgraduate Certificate.\nCampus: Marylebone, Central London.\n\nFor Part-time course:\nUK fees: £3,975.\ninternational fees: £5,355.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/energy-and-environmental-design-postgraduate-certificate ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Language and International Communication BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Language and International Communication BA Honours:\nCourse title: English Language and International Communication BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/english-language-and-international-communication-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/part-time-day/english-language-and-international-communication-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Language and Linguistics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Language and Linguistics BA Honours:\nCourse title: English Language and Linguistics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-linguistics-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-linguistics-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Language and Linguistics MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Language and Linguistics MA:\nCourse title: English Language and Linguistics MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-linguistics-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-linguistics-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Language and Linguistics with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Language and Linguistics with Foundation BA Honours:\nCourse title: English Language and Linguistics with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-linguistics-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Language and Literature MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Language and Literature MA:\nCourse title: English Language and Literature MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-literature-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-literature-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature BA Honours:\nCourse title: English Literature BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature and History BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature and History BA Honours:\nCourse title: English Literature and History BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-history-courses/2025-26/september/full-time/english-literature-and-history-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-history-courses/2025-26/september/part-time-day/english-literature-and-history-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature and Language BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature and Language BA Honours:\nCourse title: English Literature and Language BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-and-language-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-and-language-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature and Language with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature and Language with Foundation BA Honours:\nCourse title: English Literature and Language with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-and-language-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature with Foundation BA Honours:\nCourse title: English Literature with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-with-foundation-ba-honours', 'role': 'assistant'}]"
